Sleep,Mood,Steps
6.653,8,9271.323
0.0,1,0.0
7.178,5,6854.637
7.304,6,7773.839
6.894,6,7599.051
8.222,4,10682.864
7.871,6,4945.409
6.828,5,11409.302
9.903,8,7207.708
8.133,7,10409.349
5.198,4,9614.889
7.849,6,20798.0
10.369,10,386.0
7.292,4,8392.609
8.313,7,11803.119
0.508,3,4870.0
0.576,2,7229.0
6.668,6,8326.811
8.275,4,11655.362
7.195,7,5557.845
6.535,7,8161.583
8.608,7,8470.636
7.57,7,8866.946
7.479,5,6853.32
7.208,7,6175.892
6.714,6,7830.361
3.598,2,16811.0
6.818,6,7261.227
0.0,1,0.0
6.433,9,20234.0
6.085,7,7668.944
7.513,4,12556.804
13.399,8,9414.0
5.981,7,9803.247
1.069,5,3724.0
7.626,4,11497.152
6.837,7,8638.321
7.799,4,7211.055
7.529,1,5224.0
7.666,2,0.0
6.408,8,13023.079
6.432,6,4789.81
8.648,7,6301.341
10.0,6,9868.856
7.848,7,12589.537
7.576,5,8293.018
6.661,7,5843.876
9.086,6,6908.315
6.465,5,9063.49
14.526,6,5323.0
2.547,9,1663.0
2.319,10,1081.0
7.074,6,6986.794
8.209,8,9117.253
7.521,4,6082.048
7.93,5,9990.422
7.549,5,7500.38
7.463,5,5690.268
7.481,7,9490.061
6.581,6,7548.687
9.236,8,7265.859
7.505,5,5498.608
7.796,6,5861.426
7.491,7,9092.547
7.807,8,6753.299
7.548,4,8204.15
8.418,8,7207.748
6.052,5,8594.79
6.375,7,8369.621
9.642,6,8248.145
10.547,6,4110.0
7.605,6,8133.185
9.042,4,8191.472
8.627,5,9518.357
10.762,10,877.0
8.581,7,7423.216
6.438,8,8285.702
7.03,5,0.0
6.281,10,24135.0
7.687,4,5954.829
8.039,7,8469.956
7.4,5,8994.31
12.855,10,23183.0
6.875,8,5229.143
8.458,1,12209.0
9.001,7,7447.361
6.616,6,4135.666
11.706,4,6560.0
7.597,1,8435.0
7.869,7,8285.619
7.62,4,7573.34
7.24,6,9298.995
7.745,6,19412.0
7.396,8,7411.803
8.603,4,7265.179
2.129,10,1493.0
7.993,7,8030.454
6.682,8,11114.754
6.477,6,13003.29
6.021,8,4958.917
6.501,8,5657.568
7.279,6,4708.815
7.43,4,8067.802
10.0,8,7028.932
3.081,9,553.0
6.974,4,6159.523
6.847,6,8590.855
7.473,6,7488.139
7.626,7,9520.644
6.22,8,8374.591
6.321,7,6804.949
6.856,8,6999.228
7.078,4,0.0
7.861,4,8672.142
8.62,8,8425.9
0.734,5,4734.0
6.744,5,7524.578
7.781,5,9499.9
8.095,5,6484.288
6.484,4,8254.185
8.37,4,8657.866
4.797,7,7203.128
1.081,4,3850.0
8.37,4,8128.334
9.252,4,6723.446
0.0,1,0.0
8.636,8,6281.0
7.904,8,7385.883
1.669,5,6559.0
7.714,7,9688.566
11.455,10,647.0
6.22,4,6917.749
7.115,5,8866.777
7.92,4,9058.612
3.037,10,1738.0
7.352,7,11244.35
8.501,8,6748.839
12.388,7,7598.0
7.342,4,6561.987
8.073,4,7496.838
6.949,7,10797.182
6.428,8,8264.373
3.302,9,1054.0
6.89,6,8529.169
7.251,8,5764.501
7.966,8,10435.396
7.21,10,17699.0
8.11,5,10321.398
5.855,4,7626.228
7.756,7,8722.831
7.811,7,10071.449
7.623,4,11257.876
9.109,10,489.0
7.535,7,7833.24
6.855,6,7626.393
5.997,4,7272.161
6.078,6,8193.352
7.402,6,4636.846
6.853,6,5311.911
7.62,7,11016.095
9.349,8,5734.672
7.69,5,10570.771
6.565,4,5483.951
7.669,7,7321.526
7.572,5,7475.71
7.724,7,10360.982
6.035,10,4380.0
7.23,6,4305.183
7.313,5,4011.742
7.655,3,0.0
6.692,8,8359.662
8.15,5,10302.259
8.746,8,6625.547
7.444,7,8099.606
9.065,8,6972.323
7.426,4,4847.297
14.873,10,20680.0
10.0,8,9873.008
2.075,9,1669.0
7.325,5,6485.746
7.823,8,7511.438
7.844,6,4268.91
8.0,10,10000.0
6.082,3,0.0
6.661,8,10216.086
6.908,6,5724.625
7.434,5,6334.59
8.091,6,10366.648
7.81,6,7650.359
7.114,1,12722.0
7.388,4,7650.111
2.173,10,1418.0
8.817,4,8666.48
8.53,4,8273.344
0.0,3,3292.0
8.701,8,8314.517
8.464,4,8099.342
6.175,4,24338.0
7.797,1,14632.0
7.218,4,7015.019
8.576,7,9169.367
5.985,4,7413.189
6.592,7,7445.368
12.175,6,9712.0
8.134,5,5341.63
7.549,4,6544.655
8.093,8,8662.971
7.021,5,4748.801
8.504,7,3527.342
6.765,4,5818.207
3.474,10,1138.0
9.347,7,10387.29
6.707,5,4327.856
6.73,6,9209.185
7.157,7,10580.522
6.797,8,7236.135
7.255,7,7635.164
6.877,6,8001.0
6.874,5,9193.724
6.46,8,6919.794
7.372,5,10482.295
8.173,6,5850.071
9.062,5,7834.279
8.259,8,6318.785
6.772,6,9745.837
8.457,7,4179.576
7.598,4,9314.73
7.166,2,0.0
8.697,5,4557.648
6.455,8,7187.515
10.0,8,9885.09
7.231,4,8369.736
11.055,6,8642.0
9.377,8,7876.32
8.39,6,5348.412
7.19,7,8283.532
7.877,8,7544.224
8.661,4,6651.619
6.898,8,5938.574
7.889,6,6480.987
7.015,6,7061.717
0.0,5,4980.0
6.605,4,6874.616
7.716,5,7587.37
8.007,6,10809.885
9.05,6,7828.784
7.611,7,9718.628
14.297,6,6246.0
7.098,6,0.0
7.637,7,7784.011
10.938,6,1378.0
6.317,8,4307.903
0.0,1,0.0
8.371,4,13537.785
7.567,6,10693.287
8.212,8,11166.955
7.714,6,9354.719
6.276,6,7257.451
5.028,4,9005.43
7.544,4,6055.695
6.251,3,0.0
7.6,7,9309.353
9.415,10,900.0
6.848,4,10230.867
7.76,8,5772.962
7.819,6,9536.668
7.834,6,6901.28
8.372,8,20846.0
1.487,3,5415.0
6.24,7,19863.0
7.277,5,10420.487
2.858,2,21258.0
7.987,5,3752.634
6.353,9,18986.0
6.795,4,7680.63
6.808,4,6076.23
7.245,2,0.0
8.0,10,10000.0
7.442,4,6464.977
8.139,7,2718.205
8.219,8,9964.358
6.537,3,0.0
6.432,7,6144.432
6.938,4,7428.993
7.622,8,3602.614
7.739,5,12296.966
7.685,8,6748.231
7.41,6,7766.979
9.255,7,9550.847
7.521,7,11696.701
7.37,4,9951.357
7.945,4,24695.0
5.808,8,5021.707
12.804,5,5491.0
8.674,6,18686.0
6.831,8,8844.217
7.573,10,18374.0
8.253,6,6505.921
8.109,5,7329.2
8.17,5,8634.294
7.777,5,8688.768
7.443,4,10099.988
8.291,6,7402.807
8.378,10,22948.0
7.434,8,8220.779
12.15,6,5581.0
8.418,7,11394.864
8.419,7,7102.392
7.962,6,7954.844
7.573,5,9998.838
8.594,6,8400.03
11.338,10,292.0
7.547,5,10268.59
6.217,8,6895.884
8.0,10,10000.0
6.774,2,0.0
7.26,6,7415.983
8.334,6,8298.712
12.216,10,23416.0
7.088,5,8565.892
7.832,8,8345.054
6.679,8,7787.557
8.772,8,8151.519
6.467,9,16028.0
8.246,4,7909.07
6.923,5,9093.922
7.251,8,8641.753
8.726,5,8028.0
9.51,4,6868.977
7.576,8,7434.227
6.722,6,8755.658
8.218,6,10781.465
6.77,4,7246.599
7.745,6,10411.912
6.276,5,7329.801
4.849,7,8044.408
5.797,7,6458.526
5.984,4,7810.752
6.494,5,9216.816
8.0,10,10000.0
5.894,7,4956.806
6.946,7,7489.12
9.561,4,6333.253
7.807,8,10073.294
8.106,8,8681.308
8.352,7,11533.311
7.265,4,10573.195
7.683,8,8211.308
8.162,4,3587.162
8.041,4,8587.298
8.323,5,7785.29
12.311,4,8637.0
7.057,5,9874.134
6.498,6,8193.94
0.0,4,4160.0
6.29,6,8147.866
8.087,5,7535.741
2.079,9,820.0
8.214,4,7461.967
8.12,9,20508.0
7.822,4,8397.589
3.824,9,864.0
5.633,6,10486.469
8.856,4,8923.333
7.929,1,11170.0
7.34,7,10166.681
7.971,5,6419.974
6.581,8,8577.264
12.746,6,5749.0
7.761,5,7459.446
6.447,7,9419.569
5.737,6,10057.309
7.313,6,5157.694
7.205,4,11663.245
8.425,7,11676.201
7.582,8,5143.703
9.003,7,10016.008
6.14,4,5877.413
6.075,8,9619.779
7.43,8,5358.149
8.454,7,9050.381
8.738,8,7254.119
10.0,8,10538.345
7.321,6,0.0
8.209,7,6138.672
3.45,10,1417.0
12.579,4,4845.0
8.874,7,11112.615
7.467,8,8557.984
7.366,4,7747.736
14.263,3,6917.0
0.0,1,0.0
8.019,7,7407.908
7.296,4,8365.059
8.975,5,9639.457
6.822,6,6309.743
0.0,3,2822.0
8.071,8,11135.592
5.347,8,5562.569
8.13,4,8489.639
8.778,7,9305.293
8.484,4,7594.165
8.079,8,5909.571
9.272,8,4281.173
8.643,6,11252.761
9.815,5,9522.611
7.515,7,9934.622
8.591,5,5647.96
8.0,10,10000.0
7.686,7,4348.032
8.108,6,7059.513
5.937,4,6313.197
7.184,8,7918.899
7.389,7,10183.892
5.977,8,11018.915
8.0,10,10000.0
8.2,5,8048.815
2.876,1,20791.0
7.138,8,11150.779
0.754,5,2817.0
5.587,7,4750.404
9.033,5,7519.694
8.756,4,8576.822
8.4,8,6004.651
8.347,6,9375.129
6.977,4,5907.29
7.574,6,6416.581
8.014,5,9919.913
9.575,8,5860.08
0.0,3,1811.0
6.596,6,11540.335
9.376,4,7688.869
8.942,5,5375.635
8.372,8,10133.74
7.085,7,8677.397
5.376,6,9197.478
7.291,6,10249.674
7.714,2,0.0
7.884,8,7556.623
7.838,7,10402.03
7.69,8,8801.384
7.964,5,0.0
8.954,6,8681.905
6.092,6,6997.261
6.598,5,0.0
8.554,4,9428.638
14.692,3,6424.0
8.947,4,6949.222
6.078,4,9153.588
7.701,6,7636.216
5.924,4,6282.375
8.567,5,7025.221
9.115,8,9343.396
7.031,6,8458.628
8.589,4,6364.144
10.268,10,150.0
7.437,7,6586.54
8.182,6,11070.297
7.824,6,7209.57
8.037,8,3477.418
0.0,2,1404.0
8.186,8,6637.89
9.653,4,9672.657
7.904,8,7415.49
6.807,4,7804.027
6.591,4,8548.055
7.841,8,6992.306
7.444,5,8860.131
7.717,5,10853.186
7.017,7,6956.186
7.006,4,11687.797
7.324,5,7452.998
7.826,8,8457.326
0.967,5,5309.0
7.802,5,6876.824
7.587,4,8321.155
9.051,7,12889.166
8.154,4,7923.72
8.119,6,8465.743
0.0,2,4035.0
6.669,5,8018.93
8.131,5,8899.8
9.68,10,910.0
7.217,7,18739.0
7.455,2,0.0
7.823,5,8007.761
8.472,7,7282.592
6.347,4,0.0
3.66,10,556.0
7.454,4,9569.563
8.196,4,10301.215
4.651,6,7746.528
8.464,6,7804.338
8.649,7,8276.381
13.316,3,8262.0
6.274,6,7746.239
6.71,4,6855.612
8.649,4,10798.567
9.858,10,878.0
7.296,7,7411.39
6.673,7,6514.45
7.829,5,6739.427
7.235,6,5960.988
7.327,7,7068.61
6.995,4,12547.882
8.101,1,11364.0
6.184,7,21906.0
13.887,10,21734.0
6.636,6,8378.222
5.076,6,10717.166
6.404,5,8334.074
7.198,6,10410.191
6.85,7,20916.0
6.397,6,7701.137
9.023,5,6814.981
6.877,1,4145.0
8.0,10,10000.0
3.787,2,12789.0
3.614,10,1241.0
9.038,8,11914.349
6.304,6,5397.313
